2010 Old Faithful Geyser Eruptions

All times are local time (MST or MDT)

  Time and Date     Interval

01/13/10 09:57:12,  1:23:36
01/13/10 11:40:36,  1:43:24
01/13/10 13:13:00,  1:32:24
01/13/10 14:36:36,  1:23:36
01/13/10 16:18:54,  1:42:18
01/13/10 17:45:48,  1:26:54
01/13/10 19:18:12,  1:32:24
01/13/10 20:42:54,  1:24:42
01/13/10 22:13:06,  1:30:12
01/13/10 23:40:00,  1:26:54
01/14/10 01:12:24,  1:32:24
01/14/10 02:54:42,  1:42:18
01/14/10 04:24:54,  1:30:12
01/14/10 06:07:12,  1:42:18
01/14/10 07:40:42,  1:33:30
01/14/10 09:03:12,  1:22:30
01/14/10 10:32:18,  1:29:06
01/14/10 11:46:00,  1:13:42
01/14/10 13:22:48,  1:36:48
01/14/10 14:55:12,  1:32:24
01/14/10 16:22:06,  1:26:54
01/14/10 17:53:24,  1:31:18
01/14/10 19:46:42,  1:53:18
01/14/10 21:12:30,  1:25:48
01/14/10 22:42:42,  1:30:12
01/15/10 00:18:24,  1:35:42
01/15/10 01:59:36,  1:41:12
01/15/10 03:23:12,  1:23:36
01/15/10 04:50:06,  1:26:54
01/15/10 06:17:00,  1:26:54
01/15/10 08:12:30,  1:55:30
01/15/10 09:52:36,  1:40:06
01/15/10 11:27:12,  1:34:36
01/15/10 13:01:48,  1:34:36
01/15/10 14:24:18,  1:22:30
01/15/10 15:36:54,  1:12:36
01/15/10 17:23:36,  1:46:42
01/15/10 18:54:54,  1:31:18
01/15/10 20:33:54,  1:39:00
01/15/10 22:09:36,  1:35:42
01/15/10 23:37:36,  1:28:00
01/16/10 01:14:24,  1:36:48
01/16/10 02:42:24,  1:28:00
01/16/10 04:18:06,  1:35:42
01/16/10 05:48:18,  1:30:12
01/16/10 07:16:18,  1:28:00
01/16/10 08:56:24,  1:40:06
01/16/10 10:13:24,  1:17:00
01/16/10 11:50:12,  1:36:48
01/16/10 12:58:24,  1:08:12
01/16/10 14:41:48,  1:43:24
01/16/10 16:12:00,  1:30:12
01/16/10 17:16:54,  1:04:54
01/16/10 18:49:18,  1:32:24
01/16/10 20:29:24,  1:40:06
01/16/10 21:51:54,  1:22:30
01/16/10 23:27:36,  1:35:42
01/17/10 00:56:42,  1:29:06
01/17/10 02:25:48,  1:29:06
01/17/10 03:57:06,  1:31:18
01/17/10 05:26:12,  1:29:06
01/17/10 06:58:36,  1:32:24
01/17/10 08:22:12,  1:23:36
01/17/10 10:04:30,  1:42:18
01/17/10 11:30:18,  1:25:48
01/17/10 13:08:12,  1:37:54
01/17/10 14:31:48,  1:23:36
01/17/10 16:02:00,  1:30:12
01/17/10 17:32:12,  1:30:12
01/17/10 18:55:48,  1:23:36
01/17/10 20:28:12,  1:32:24
01/17/10 22:03:54,  1:35:42
01/17/10 23:37:24,  1:33:30
01/18/10 01:15:18,  1:37:54
01/18/10 02:55:24,  1:40:06
01/18/10 04:23:24,  1:28:00
01/18/10 05:56:54,  1:33:30
01/18/10 07:28:12,  1:31:18
01/18/10 08:56:12,  1:28:00
01/18/10 10:42:54,  1:46:42
01/18/10 12:09:48,  1:26:54
01/18/10 13:46:36,  1:36:48
01/18/10 15:24:30,  1:37:54
01/18/10 16:54:42,  1:30:12
01/18/10 18:30:24,  1:35:42
01/18/10 20:07:12,  1:36:48
01/18/10 21:42:54,  1:35:42
01/18/10 23:15:18,  1:32:24
01/19/10 00:47:42,  1:32:24
01/19/10 02:03:36,  1:15:54
01/19/10 03:34:54,  1:31:18
01/19/10 05:13:54,  1:39:00
01/19/10 06:38:36,  1:24:42
01/19/10 08:15:24,  1:36:48
01/19/10 09:23:36,  1:08:12
01/19/10 11:02:36,  1:39:00
01/19/10 12:29:30,  1:26:54
01/19/10 14:00:48,  1:31:18
01/19/10 15:31:00,  1:30:12
01/19/10 17:25:24,  1:54:24
01/19/10 18:57:48,  1:32:24
01/19/10 20:35:42,  1:37:54
01/19/10 22:13:36,  1:37:54
01/19/10 23:35:00,  1:21:24
01/20/10 01:14:00,  1:39:00
01/20/10 02:12:18,  0:58:18
01/20/10 03:46:54,  1:34:36
01/20/10 05:20:24,  1:33:30
01/20/10 06:58:18,  1:37:54
01/20/10 08:24:06,  1:25:48
01/20/10 10:08:36,  1:44:30
01/20/10 11:31:06,  1:22:30
01/20/10 13:11:12,  1:40:06
01/20/10 14:45:48,  1:34:36
01/20/10 16:12:42,  1:26:54
01/20/10 17:39:36,  1:26:54
01/20/10 19:29:36,  1:50:00
01/20/10 20:56:30,  1:26:54
01/20/10 22:35:30,  1:39:00
01/21/10 00:02:24,  1:26:54
01/21/10 01:31:30,  1:29:06
01/21/10 03:12:42,  1:41:12
01/21/10 04:35:12,  1:22:30
01/21/10 06:09:48,  1:34:36
01/21/10 07:42:12,  1:32:24
01/21/10 09:13:30,  1:31:18
01/21/10 10:52:30,  1:39:00
01/21/10 12:21:36,  1:29:06
01/21/10 13:52:54,  1:31:18
01/21/10 15:31:54,  1:39:00
01/21/10 17:10:54,  1:39:00
01/21/10 18:34:30,  1:23:36
01/21/10 20:13:30,  1:39:00
01/21/10 21:39:18,  1:25:48
01/21/10 23:09:30,  1:30:12
01/22/10 00:46:18,  1:36:48
01/22/10 02:14:18,  1:28:00
01/22/10 03:47:48,  1:33:30
01/22/10 05:15:48,  1:28:00
01/22/10 06:43:48,  1:28:00
01/22/10 08:16:12,  1:32:24
01/22/10 10:12:48,  1:56:36
01/22/10 11:12:12,  0:59:24
01/22/10 12:53:24,  1:41:12
01/22/10 14:23:36,  1:30:12
01/22/10 15:35:06,  1:11:30
01/22/10 17:18:30,  1:43:24
01/22/10 18:56:24,  1:37:54
01/22/10 20:18:54,  1:22:30
01/22/10 21:50:12,  1:31:18
01/22/10 23:19:18,  1:29:06
01/23/10 00:48:24,  1:29:06
01/23/10 02:23:00,  1:34:36
01/23/10 03:57:36,  1:34:36
01/23/10 04:59:12,  1:01:36
